"Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
"December 4, 2018",Texas,Humble,"4000 block of Wintergreen Dr",0,1,N/A
"December 4, 2018",Florida,Palmetto,"1200 17th St W",0,1,N/A
"December 4, 2018",Indiana,"Fort Wayne","6100 block of Landsdowne Dr",0,1,N/A
"December 4, 2018",Wisconsin,Milwaukee,"S 24th St and W National Ave",0,1,N/A
"December 4, 2018",Alabama,Mobile,"1300 block of S Ann St",0,1,N/A
"December 3, 2018","South Dakota","Sioux Falls","6th St and Bahnson Ave",0,1,N/A
"December 3, 2018",Texas,"San Antonio","4100 block of Sunrise Crest",0,1,N/A
"December 2, 2018","North Carolina",Raleigh,"3700 New Bern Ave",0,2,N/A
"December 2, 2018",Michigan,"Grand Rapids","Watkins St SE and Fuller Ave SE",0,2,N/A
"December 2, 2018",Virginia,Richmond,"1900 block of Raven St",0,1,N/A
"December 2, 2018",Illinois,Chicago,"5200 block of S Homan Ave",0,1,N/A
"December 2, 2018",Illinois,Chicago,"3800 block of W 62nd St",0,1,N/A
"December 2, 2018",Ohio,Columbus,"W Mound St",0,1,N/A
"December 2, 2018",Minnesota,Moorhead,N/A,0,1,N/A
"December 2, 2018",Florida,"Avon Park","Marble Ave",0,2,N/A
"December 1, 2018",Louisiana,"New Orleans","400 block of Lakeshore Dr",0,1,N/A
"December 1, 2018","North Carolina","Winston Salem (Winston-salem)","4420 Edrem Ave",0,1,N/A
"December 1, 2018",Ohio,Alliance,"9 S Union Ave",0,1,N/A
"November 30, 2018",Illinois,Chicago,"1000 block of N Monticello Ave",0,1,N/A
"November 30, 2018",Ohio,Marion,"800 block of Davids St",0,1,N/A
"November 30, 2018",Massachusetts,Springfield,"17 Knox St",1,1,N/A
"November 29, 2018",Indiana,"South Bend","800 block of S Albert Ave",0,1,N/A
"November 28, 2018",Indiana,Hammond,"7600 block of Jefferson St",0,1,N/A
"November 28, 2018",Ohio,Akron,"262 Grand Ave",1,1,N/A
"November 28, 2018",Pennsylvania,York,"900 block of Hay St",0,1,N/A
"November 27, 2018",Florida,"Fort Lauderdale (Lauderdale Lakes)","4300 Block of NW 36th St",0,1,N/A
"November 27, 2018",Missouri,"Saint Louis","4500 block of Lexington Ave",0,1,N/A
"November 27, 2018",Texas,Houston,"602 Cresline St",0,1,N/A
"November 27, 2018",Pennsylvania,Pittsburgh,"Fredonia St",0,2,N/A
"November 27, 2018","New York",Bronx,"Manor Ave and E 173rd St",0,1,N/A
"November 27, 2018",Pennsylvania,Philadelphia,"5100 block of N 8th St",0,2,N/A
"November 26, 2018","North Carolina","Willow Spring","2404 Topton Ct",0,1,N/A
"November 26, 2018",Pennsylvania,"Natrona Heights","1 Municipal Dr",1,2,N/A
"November 26, 2018",Washington,"Seattle (Des Moines)","23000 block of Pacific Hwy S",0,1,N/A
"November 26, 2018",Michigan,Lansing,"1700 block of Teel Ave",0,1,N/A
"November 26, 2018",Tennessee,Powell,"Tammy Dr",0,4,N/A
"November 26, 2018",Missouri,"Saint Louis","3600 block of N 20th St",0,1,N/A
"November 26, 2018",Florida,"Opa Locka","2556 Superior St",1,1,N/A
"November 26, 2018",Illinois,Chicago,"5700 block of S Wentworth Ave",0,2,N/A
"November 26, 2018",Illinois,Chicago,"2000 block of W Estes Ave",0,2,N/A
"November 25, 2018","South Carolina",Charleston,"3290 Magnolia St",0,1,N/A
"November 25, 2018","South Carolina",Orangeburg,"1000 Presidential Dr",0,1,N/A
"November 25, 2018","South Carolina",Conway,"Wayside Rd",0,1,N/A
"November 25, 2018",Louisiana,Vinton,"Williams Rd and Gum Cove Rd",0,2,N/A
"November 25, 2018",Tennessee,Greenbrier,"4000 block of Edger Dillard Rd",0,1,N/A
"November 25, 2018",Pennsylvania,Philadelphia,"60th St and Ludlow St",0,3,N/A
"November 25, 2018",Texas,Houston,"4500 block of Yale St",1,3,N/A
"November 25, 2018",Virginia,"Virginia Beach","400 block of Jasper Ct",0,1,N/A
"November 24, 2018",Tennessee,Knoxville,"Cunningham Rd",0,1,N/A
"November 24, 2018",Texas,"San Antonio","400 block of Kayton Ave",0,1,N/A
"November 24, 2018","North Carolina","High Point","506 Steele St",0,1,N/A
"November 24, 2018",Illinois,Chicago,"10100 block of S Emerald Ave",0,1,N/A
"November 23, 2018",Tennessee,Memphis,"262 Chelsea Ave",0,2,N/A
"November 23, 2018",Idaho,"Pocatello (Chubbuck)","E Siphon Rd and Whitaker Rd",0,1,N/A
"November 23, 2018",Illinois,Chicago,"2300 block of S Sacramento Ave",0,1,N/A
"November 22, 2018",Alabama,"Birmingham (Hoover)","2000 Galleria Cir",1,2,N/A
"November 22, 2018",Illinois,Chicago,"100 block of N Kildare Ave",0,2,N/A
"November 22, 2018",Illinois,Chicago,"500 block of E 48th St",0,1,N/A
"November 22, 2018",Florida,"Homestead (Leisure City)","30120 SW 146th Ave",0,1,N/A
"November 21, 2018","North Carolina","Winston Salem (Winston-salem)","Inverness Ave",0,1,N/A
"November 21, 2018",Pennsylvania,York,"W Market St and Local Way",0,1,N/A
"November 21, 2018",Kentucky,Lexington,"100 block of Carlisle Ave",0,1,N/A
"November 21, 2018",Georgia,Mcdonough,"GA 20",0,2,N/A
"November 21, 2018",Illinois,Chicago,"3700 block of W Montrose Ave",0,1,N/A
"November 21, 2018",Illinois,Chicago,"4900 block of W Fullerton Ave",0,1,N/A
"November 21, 2018",Indiana,Evansville,"Jackson Ave and Englewood Ave",0,1,N/A
"November 21, 2018",Iowa,Burlington,"800 block of Maple St",0,1,N/A
"November 21, 2018",Michigan,"Grand Rapids","100 block of Quigley Blvd SW",0,2,N/A
"November 20, 2018",Arkansas,"Little Rock","8500 block of Dreher Ln",0,1,N/A
"November 20, 2018",Alabama,Birmingham,"4700 block of Avenue N",0,2,N/A
"November 20, 2018",Texas,"Fort Worth","5300 block of E Rosedale St",0,2,N/A
"November 20, 2018",Louisiana,Kenner,"1000 block of 31st St",0,1,N/A
"November 19, 2018",Florida,Ocala,"Teak Loop",0,1,N/A
"November 19, 2018",Illinois,Chicago,"100 block of N Pulaski Rd",0,1,N/A
"November 18, 2018","South Carolina",Spartanburg,"100 Lees Crossing Dr",0,1,N/A
"November 18, 2018","South Carolina",Bluffton,"Burr Way",0,1,N/A
"November 18, 2018",Illinois,Chicago,"6500 block of S Hoyne Ave",0,2,N/A
"November 18, 2018",Florida,"Fort Myers","Bernwood Place Dr",0,1,N/A
"November 18, 2018",Illinois,Chicago,"3600 block of W Ohio St",0,1,N/A
"November 18, 2018",Illinois,Rockford,"1500 block of Crosby St",0,1,N/A
"November 18, 2018",Connecticut,Waterbury,"1085 Bank St",0,2,N/A
"November 18, 2018",Louisiana,"Gretna (Terrytown)","Faith Pl and Heritage Ave",0,1,N/A
"November 18, 2018","North Carolina","Winston Salem (Winston-salem)","US 421",0,1,N/A
"November 17, 2018",Nevada,"North Las Vegas","3600 block of Hamlin Pl",0,2,N/A
